time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2025/07/11/14:07:40.311316,0.21348088408836263,0.0,0.0,0.0,0.0,-0.9039590288685891
2025/07/11/14:07:40.361348,0.2159505179917509,0.0,0.0,0.0,0.0,-0.8850360307404913
2025/07/11/14:07:40.411208,0.21884098587119927,0.0,0.0,0.0,0.0,-0.8628156527845151
2025/07/11/14:07:40.461572,0.22213501170874617,0.0,0.0,0.0,0.0,-0.8377973468021704
2025/07/11/14:07:40.511333,0.22581239955192928,0.0,0.0,0.0,0.0,-0.8105044816154866
2025/07/11/14:07:40.560465,0.22985058716331147,0.0,0.0,0.0,0.0,-0.7814596061460348
2025/07/11/14:07:40.611230,0.2342251955111796,0.0,0.0,0.0,0.0,-0.7511636681006033
2025/07/11/14:07:40.661232,0.23891054977851,0.0,0.0,0.0,0.0,-0.7200801052516682
2025/07/11/14:07:40.710505,0.24388015412060637,0.0,0.0,0.0,0.0,-0.6886240216640367
2025/07/11/14:07:40.760836,0.24910710901583355,0.0,0.0,0.0,0.0,-0.6571561097215687
2025/07/11/14:07:40.811045,0.25456446599297694,0.0,0.0,0.0,0.0,-0.625980619635591
2025/07/11/14:07:40.859981,0.26022551934963467,0.0,0.0,0.0,0.0,-0.5953465040690912
2025/07/11/14:07:40.910870,0.2660640380390213,0.0,0.0,0.0,0.0,-0.5654508406961194
2025/07/11/14:07:40.961079,0.2720544432418531,0.0,0.0,0.0,0.0,-0.5364437128486226
2025/07/11/14:07:41.010450,0.27817193842600374,0.0,0.0,0.0,0.0,-0.5084338625354654
2025/07/11/14:07:41.061278,0.28439259915640713,0.0,0.0,0.0,0.0,-0.48149458466773193
2025/07/11/14:07:41.110451,0.2906934297840858,0.0,0.0,0.0,0.0,-0.455669481254482
2025/07/11/14:07:41.160761,0.29705239362481,0.0,0.0,0.0,0.0,-0.43097782516670863
2025/07/11/14:07:41.211087,0.3034484225030471,0.0,0.0,0.0,0.0,-0.4074193885694911
2025/07/11/14:07:41.260583,0.30986141071149537,0.0,0.0,0.0,0.0,-0.384978670637288
2025/07/11/14:07:41.310679,0.3162721976076561,0.0,0.0,0.0,0.0,-0.36362851527261547
2025/07/11/14:07:41.361064,0.322662542291047,0.0,0.0,0.0,0.0,-0.34333314629853423
2025/07/11/14:07:41.410937,0.3290150931080956,0.0,0.0,0.0,0.0,-0.3240506693668148
2025/07/11/14:07:41.460645,0.3353133541293685,0.0,0.0,0.0,0.0,-0.3057351006511885
2025/07/11/14:07:41.510683,0.3415416502369713,0.0,0.0,0.0,0.0,-0.2883379856714576
2025/07/11/14:07:41.560395,0.3476850920430447,0.0,0.0,0.0,0.0,-0.27180966998455336
2025/07/11/14:07:41.610835,0.3537295415238784,0.0,0.0,0.0,0.0,-0.25610027896511534
2025/07/11/14:07:41.660555,0.35966157898769185,0.0,0.0,0.0,0.0,-0.24116045789147966
2025/07/11/14:07:41.710899,0.3654684717862764,0.0,0.0,0.0,0.0,-0.226941917002002
2025/07/11/14:07:41.761306,0.3711381450213466,0.0,0.0,0.0,0.0,-0.21339781969612215
2025/07/11/14:07:41.810871,0.37665915437648007,0.0,0.0,0.0,0.0,-0.20048304598398678
2025/07/11/14:07:41.860836,0.38202066111679245,0.0,0.0,0.0,0.0,-0.18815435782263012
2025/07/11/14:07:41.910522,0.3872124092345523,0.0,0.0,0.0,0.0,-0.1763704881891716
2025/07/11/14:07:41.960748,0.39222470467413517,0.0,0.0,0.0,0.0,-0.16509217163279163
2025/07/11/14:07:42.010710,0.3970483965397838,0.0,0.0,0.0,0.0,-0.15428213057815346
2025/07/11/14:07:42.061724,0.4016748601707526,0.0,0.0,0.0,0.0,-0.1439050287615306
2025/07/11/14:07:42.110765,0.4060959819580833,0.0,0.0,0.0,0.0,-0.13392740079419044
2025/07/11/14:07:42.160543,0.4103041457728613,0.0,0.0,0.0,0.0,-0.12431756489871333
2025/07/11/14:07:42.210699,0.4142922208760778,0.0,0.0,0.0,0.0,-0.11504552428184454
2025/07/11/14:07:42.260549,0.4180535511836714,0.0,0.0,0.0,0.0,-0.10608286133160562
2025/07/11/14:07:42.311075,0.4215819457656804,0.0,0.0,0.0,0.0,-0.09740262780663905
2025/07/11/14:07:42.360536,0.4248716704655414,0.0,0.0,0.0,0.0,-0.08897923337246447
2025/07/11/14:07:42.410839,0.42791744053332964,0.0,0.0,0.0,0.0,-0.08078833419511852
2025/07/11/14:07:42.460926,0.43071441417500167,0.0,0.0,0.0,0.0,-0.07280672279549295
2025/07/11/14:07:42.510749,0.4332581869282683,0.0,0.0,0.0,0.0,-0.06501221996975995
2025/07/11/14:07:42.560083,0.43554478678409647,0.0,0.0,0.0,0.0,-0.057383569271567986
2025/07/11/14:07:42.610761,0.4375706699812657,0.0,0.0,0.0,0.0,-0.049900334311179365
2025/07/11/14:07:42.660730,0.4393327174093528,0.0,0.0,0.0,0.0,-0.04254279894111214
2025/07/11/14:07:42.710121,0.44082823156339535,0.0,0.0,0.0,0.0,-0.03529187025665414
2025/07/11/14:07:42.760959,0.4420549340010828,0.0,0.0,0.0,0.0,-0.028128984231417967
2025/07/11/14:07:42.810510,0.44301096326043965,0.0,0.0,0.0,0.0,-0.02103601372698858
2025/07/11/14:07:42.860205,0.4436948732029437,0.0,0.0,0.0,0.0,-0.013995178555444413
2025/07/11/14:07:42.910748,0.44410563175380546,0.0,0.0,0.0,0.0,-0.006988957229069818
2025/07/11/14:07:42.960283,0.4442426200176136,0.0,0.0,0.0,0.0,0.0
2025/07/11/14:07:43.010569,0.4441056317538118,0.0,0.0,0.0,0.0,0.006988957229069818
2025/07/11/14:07:43.060861,0.4436948732029405,0.0,0.0,0.0,0.0,0.013995178555444413
2025/07/11/14:07:43.110245,0.4430109632604365,0.0,0.0,0.0,0.0,0.02103601372698858
