time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:09:44.277354,50,150
2025/07/11/14:09:44.327268,44,150
2025/07/11/14:09:44.377210,50,150
2025/07/11/14:09:44.427200,50,150
2025/07/11/14:09:44.477528,44,156
2025/07/11/14:09:44.527181,25,156
2025/07/11/14:09:44.577489,31,156
2025/07/11/14:09:44.627307,25,162
2025/07/11/14:09:44.677285,19,162
2025/07/11/14:09:44.727224,6,156
2025/07/11/14:09:44.777180,12,162
2025/07/11/14:09:44.827280,6,162
2025/07/11/14:09:44.877169,0,162
2025/07/11/14:09:44.927224,6,162
2025/07/11/14:09:44.977503,19,168
2025/07/11/14:09:45.027306,19,162
2025/07/11/14:09:45.077385,0,162
2025/07/11/14:09:45.127228,0,162
2025/07/11/14:09:45.177276,6,162
2025/07/11/14:09:45.227249,6,162
2025/07/11/14:09:45.277337,6,156
2025/07/11/14:09:45.327210,12,150
2025/07/11/14:09:45.377509,0,150
2025/07/11/14:09:45.427253,12,150
2025/07/11/14:09:45.477528,12,150
2025/07/11/14:09:45.527269,6,150
2025/07/11/14:09:45.577541,19,156
2025/07/11/14:09:45.627303,19,143
2025/07/11/14:09:45.677503,25,150
2025/07/11/14:09:45.727258,25,150
2025/07/11/14:09:45.777253,25,143
2025/07/11/14:09:45.827244,31,143
2025/07/11/14:09:45.877303,31,143
2025/07/11/14:09:45.927231,31,150
2025/07/11/14:09:45.977303,31,150
2025/07/11/14:09:46.027240,44,150
2025/07/11/14:09:46.077289,50,143
2025/07/11/14:09:46.127272,44,143
2025/07/11/14:09:46.177234,50,137
2025/07/11/14:09:46.227249,56,150
2025/07/11/14:09:46.277612,50,143
2025/07/11/14:09:46.327209,62,143
2025/07/11/14:09:46.377369,62,143
2025/07/11/14:09:46.427246,62,143
2025/07/11/14:09:46.477340,62,143
2025/07/11/14:09:46.527268,62,143
2025/07/11/14:09:46.577343,69,150
2025/07/11/14:09:46.627253,75,143
2025/07/11/14:09:46.677325,69,150
2025/07/11/14:09:46.727232,69,143
2025/07/11/14:09:46.777261,69,150
2025/07/11/14:09:46.827196,75,150
2025/07/11/14:09:46.877297,75,143
2025/07/11/14:09:46.927224,69,143
2025/07/11/14:09:46.977300,69,137
2025/07/11/14:09:47.027276,69,143
2025/07/11/14:09:47.077199,75,143
2025/07/11/14:09:47.127231,81,150
2025/07/11/14:09:47.177181,87,150
2025/07/11/14:09:47.227226,75,150
2025/07/11/14:09:47.277200,81,150
2025/07/11/14:09:47.327195,75,143
2025/07/11/14:09:47.377270,75,137
2025/07/11/14:09:47.427188,81,143
2025/07/11/14:09:47.477192,81,137
2025/07/11/14:09:47.527227,81,143
2025/07/11/14:09:47.577352,69,143
2025/07/11/14:09:47.627244,75,143
2025/07/11/14:09:47.677221,75,143
2025/07/11/14:09:47.727272,75,143
2025/07/11/14:09:47.777210,75,137
2025/07/11/14:09:47.827243,69,143
2025/07/11/14:09:47.877365,62,143
2025/07/11/14:09:47.927150,69,143
2025/07/11/14:09:47.977370,69,143
2025/07/11/14:09:48.027264,75,143
2025/07/11/14:09:48.077216,69,143
2025/07/11/14:09:48.127236,75,143
2025/07/11/14:09:48.177461,56,143
2025/07/11/14:09:48.227263,56,131
2025/07/11/14:09:48.277261,56,143
2025/07/11/14:09:48.327131,56,143
2025/07/11/14:09:48.377360,50,143
2025/07/11/14:09:48.427224,44,150
2025/07/11/14:09:48.477329,37,143
2025/07/11/14:09:48.527294,31,143
2025/07/11/14:09:48.577334,31,143
2025/07/11/14:09:48.627229,25,143
2025/07/11/14:09:48.677213,25,143
2025/07/11/14:09:48.727235,25,150
2025/07/11/14:09:48.777254,12,150
2025/07/11/14:09:48.827259,25,156
2025/07/11/14:09:48.877187,12,162
2025/07/11/14:09:48.927224,6,162
2025/07/11/14:09:48.977282,0,168
2025/07/11/14:09:49.027263,0,162
2025/07/11/14:09:49.077202,6,156
2025/07/11/14:09:49.127240,0,162
2025/07/11/14:09:49.177281,0,162
2025/07/11/14:09:49.227176,0,162
2025/07/11/14:09:49.277353,0,162
2025/07/11/14:09:49.327263,0,162
2025/07/11/14:09:49.377245,0,162
2025/07/11/14:09:49.427249,0,162
2025/07/11/14:09:49.477343,6,156
2025/07/11/14:09:49.527226,-6,156
2025/07/11/14:09:49.577244,6,156
2025/07/11/14:09:49.627340,-6,156
2025/07/11/14:09:49.677310,12,156
2025/07/11/14:09:49.727293,6,150
2025/07/11/14:09:49.777288,25,150
2025/07/11/14:09:49.827259,19,156
2025/07/11/14:09:49.877300,25,156
2025/07/11/14:09:49.927263,25,162
2025/07/11/14:09:49.977198,25,162
2025/07/11/14:09:50.027270,25,156
2025/07/11/14:09:50.077271,31,150
2025/07/11/14:09:50.127243,50,150
2025/07/11/14:09:50.177210,50,156
2025/07/11/14:09:50.227278,50,150
2025/07/11/14:09:50.277177,44,156
2025/07/11/14:09:50.327236,50,150
2025/07/11/14:09:50.377230,62,156
2025/07/11/14:09:50.427213,69,143
2025/07/11/14:09:50.477287,75,156
2025/07/11/14:09:50.527238,69,150
2025/07/11/14:09:50.577220,75,156
2025/07/11/14:09:50.627212,87,156
2025/07/11/14:09:50.677171,87,156
2025/07/11/14:09:50.727176,93,156
2025/07/11/14:09:50.777211,93,162
2025/07/11/14:09:50.827217,100,162
2025/07/11/14:09:50.877216,100,150
2025/07/11/14:09:50.927239,100,156
2025/07/11/14:09:50.977235,106,156
2025/07/11/14:09:51.027218,118,156
2025/07/11/14:09:51.077204,112,156
2025/07/11/14:09:51.127229,125,162
2025/07/11/14:09:51.177232,118,162
2025/07/11/14:09:51.227215,118,168
2025/07/11/14:09:51.277077,125,162
2025/07/11/14:09:51.327418,137,162
2025/07/11/14:09:51.377356,137,162
2025/07/11/14:09:51.427248,137,162
2025/07/11/14:09:51.477377,143,162
2025/07/11/14:09:51.527321,131,168
2025/07/11/14:09:51.577305,137,162
2025/07/11/14:09:51.627297,143,162
2025/07/11/14:09:51.677238,143,162
2025/07/11/14:09:51.727322,143,168
2025/07/11/14:09:51.777251,150,162
2025/07/11/14:09:51.827357,150,168
2025/07/11/14:09:51.877208,156,162
2025/07/11/14:09:51.927343,156,168
2025/07/11/14:09:51.977181,150,162
2025/07/11/14:09:52.027145,156,162
2025/07/11/14:09:52.077351,156,162
2025/07/11/14:09:52.127188,156,162
2025/07/11/14:09:52.177158,156,162
2025/07/11/14:09:52.227183,156,162
2025/07/11/14:09:52.277199,168,162
2025/07/11/14:09:52.327251,156,162
2025/07/11/14:09:52.377154,156,150
2025/07/11/14:09:52.427258,162,150
2025/07/11/14:09:52.477254,156,156
2025/07/11/14:09:52.527243,156,162
2025/07/11/14:09:52.577289,156,156
2025/07/11/14:09:52.627173,168,150
2025/07/11/14:09:52.677288,162,156
2025/07/11/14:09:52.727392,162,150
2025/07/11/14:09:52.777231,156,150
2025/07/11/14:09:52.827311,150,143
2025/07/11/14:09:52.877306,156,137
2025/07/11/14:09:52.927301,156,143
2025/07/11/14:09:52.977229,156,143
2025/07/11/14:09:53.027235,156,137
2025/07/11/14:09:53.077317,150,137
2025/07/11/14:09:53.127409,156,131
2025/07/11/14:09:53.177201,156,131
2025/07/11/14:09:53.227287,156,125
2025/07/11/14:09:53.277238,156,125
2025/07/11/14:09:53.327174,162,118
2025/07/11/14:09:53.377249,162,125
2025/07/11/14:09:53.427480,150,112
2025/07/11/14:09:53.477224,150,112
2025/07/11/14:09:53.527259,150,118
2025/07/11/14:09:53.577303,150,100
2025/07/11/14:09:53.627203,150,93
2025/07/11/14:09:53.677263,150,93
2025/07/11/14:09:53.727250,150,93
2025/07/11/14:09:53.777411,143,87
2025/07/11/14:09:53.827302,150,87
2025/07/11/14:09:53.877246,150,87
2025/07/11/14:09:53.927191,156,87
2025/07/11/14:09:53.977294,156,81
2025/07/11/14:09:54.027426,150,69
2025/07/11/14:09:54.077245,143,62
2025/07/11/14:09:54.127392,150,56
2025/07/11/14:09:54.177392,150,56
2025/07/11/14:09:54.227306,150,56
2025/07/11/14:09:54.277421,156,50
2025/07/11/14:09:54.327438,150,44
2025/07/11/14:09:54.377273,150,44
2025/07/11/14:09:54.427383,150,44
2025/07/11/14:09:54.477292,143,31
2025/07/11/14:09:54.527478,156,37
2025/07/11/14:09:54.577405,156,31
2025/07/11/14:09:54.627321,162,25
2025/07/11/14:09:54.677394,162,12
2025/07/11/14:09:54.727226,162,25
2025/07/11/14:09:54.777447,156,12
2025/07/11/14:09:54.827223,162,19
2025/07/11/14:09:54.877304,162,12
2025/07/11/14:09:54.927388,168,0
2025/07/11/14:09:54.977408,168,6
2025/07/11/14:09:55.027360,168,12
2025/07/11/14:09:55.077286,168,12
2025/07/11/14:09:55.127407,156,0
2025/07/11/14:09:55.177369,156,0
2025/07/11/14:09:55.227425,150,6
2025/07/11/14:09:55.277439,156,0
2025/07/11/14:09:55.327399,156,12
2025/07/11/14:09:55.377216,156,6
2025/07/11/14:09:55.427281,150,0
2025/07/11/14:09:55.477326,150,6
2025/07/11/14:09:55.527264,150,19
2025/07/11/14:09:55.577221,150,12
2025/07/11/14:09:55.627432,150,25
2025/07/11/14:09:55.677324,156,19
2025/07/11/14:09:55.727442,150,25
2025/07/11/14:09:55.777237,156,25
2025/07/11/14:09:55.827613,143,31
2025/07/11/14:09:55.877299,143,31
2025/07/11/14:09:55.927443,143,31
2025/07/11/14:09:55.977469,143,37
2025/07/11/14:09:56.027231,150,44
2025/07/11/14:09:56.077334,150,37
2025/07/11/14:09:56.127342,143,37
2025/07/11/14:09:56.177441,143,56
2025/07/11/14:09:56.227446,150,56
2025/07/11/14:09:56.277245,150,62
2025/07/11/14:09:56.327441,150,56
2025/07/11/14:09:56.377453,143,56
2025/07/11/14:09:56.427509,143,62
2025/07/11/14:09:56.477325,143,62
2025/07/11/14:09:56.527496,143,62
2025/07/11/14:09:56.577264,150,69
2025/07/11/14:09:56.627077,150,69
2025/07/11/14:09:56.677689,143,56
2025/07/11/14:09:56.727499,143,56
2025/07/11/14:09:56.777420,137,75
2025/07/11/14:09:56.827282,143,75
2025/07/11/14:09:56.877209,143,75
2025/07/11/14:09:56.927525,137,81
2025/07/11/14:09:56.977513,131,69
2025/07/11/14:09:57.027331,100,44
2025/07/11/14:09:57.077473,81,50
2025/07/11/14:09:57.127560,81,50
