time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:07:44.077213,143,156
2025/07/11/14:07:44.127227,131,156
2025/07/11/14:07:44.177103,137,156
2025/07/11/14:07:44.227159,137,156
2025/07/11/14:07:44.277263,143,156
2025/07/11/14:07:44.326996,125,156
2025/07/11/14:07:44.377139,137,156
2025/07/11/14:07:44.427133,137,156
2025/07/11/14:07:44.477092,137,156
2025/07/11/14:07:44.527253,125,150
2025/07/11/14:07:44.577281,118,156
2025/07/11/14:07:44.627085,125,156
2025/07/11/14:07:44.677413,125,150
2025/07/11/14:07:44.727136,125,156
2025/07/11/14:07:44.777094,125,156
2025/07/11/14:07:44.827194,112,156
2025/07/11/14:07:44.877059,106,156
2025/07/11/14:07:44.927277,100,150
2025/07/11/14:07:44.977355,93,156
2025/07/11/14:07:45.026974,87,137
2025/07/11/14:07:45.077388,87,143
2025/07/11/14:07:45.127271,87,143
2025/07/11/14:07:45.177098,75,150
2025/07/11/14:07:45.227242,69,143
2025/07/11/14:07:45.277404,69,143
2025/07/11/14:07:45.327219,62,150
2025/07/11/14:07:45.377143,56,150
2025/07/11/14:07:45.427176,62,150
2025/07/11/14:07:45.477124,50,156
2025/07/11/14:07:45.527278,44,143
2025/07/11/14:07:45.577340,50,150
2025/07/11/14:07:45.627050,37,156
2025/07/11/14:07:45.677350,31,150
2025/07/11/14:07:45.727149,31,150
2025/07/11/14:07:45.777123,31,156
2025/07/11/14:07:45.827142,31,156
2025/07/11/14:07:45.877294,25,162
2025/07/11/14:07:45.927250,25,162
2025/07/11/14:07:45.977350,6,168
2025/07/11/14:07:46.027104,19,162
2025/07/11/14:07:46.077322,19,168
2025/07/11/14:07:46.127299,0,168
2025/07/11/14:07:46.177153,6,156
2025/07/11/14:07:46.227157,6,156
2025/07/11/14:07:46.277294,6,156
2025/07/11/14:07:46.326985,12,156
2025/07/11/14:07:46.377353,6,162
2025/07/11/14:07:46.427139,0,162
2025/07/11/14:07:46.477279,6,168
2025/07/11/14:07:46.527264,6,162
2025/07/11/14:07:46.577120,12,156
2025/07/11/14:07:46.627160,6,156
2025/07/11/14:07:46.677166,0,150
2025/07/11/14:07:46.727083,6,150
2025/07/11/14:07:46.777394,19,150
2025/07/11/14:07:46.827157,6,150
2025/07/11/14:07:46.877069,12,150
2025/07/11/14:07:46.927211,19,150
2025/07/11/14:07:46.977711,25,150
2025/07/11/14:07:47.027042,25,150
2025/07/11/14:07:47.077015,25,143
2025/07/11/14:07:47.126959,25,143
2025/07/11/14:07:47.177608,37,137
2025/07/11/14:07:47.227197,37,143
2025/07/11/14:07:47.277159,50,150
2025/07/11/14:07:47.327294,44,150
2025/07/11/14:07:47.377318,37,150
2025/07/11/14:07:47.427095,50,150
2025/07/11/14:07:47.477436,50,143
2025/07/11/14:07:47.527133,56,150
2025/07/11/14:07:47.577180,56,143
2025/07/11/14:07:47.627205,56,137
2025/07/11/14:07:47.677134,62,137
2025/07/11/14:07:47.727310,69,143
2025/07/11/14:07:47.777288,69,150
2025/07/11/14:07:47.827135,75,150
2025/07/11/14:07:47.877375,75,150
2025/07/11/14:07:47.927300,75,143
2025/07/11/14:07:47.977174,75,150
2025/07/11/14:07:48.027190,69,143
2025/07/11/14:07:48.077430,75,150
2025/07/11/14:07:48.127065,75,150
2025/07/11/14:07:48.177390,75,143
2025/07/11/14:07:48.227135,81,137
2025/07/11/14:07:48.277003,75,143
2025/07/11/14:07:48.327190,81,143
2025/07/11/14:07:48.377171,75,143
2025/07/11/14:07:48.427147,81,137
2025/07/11/14:07:48.477320,81,137
2025/07/11/14:07:48.527101,75,143
2025/07/11/14:07:48.577314,81,143
2025/07/11/14:07:48.627095,75,143
2025/07/11/14:07:48.677251,75,143
2025/07/11/14:07:48.727135,75,143
2025/07/11/14:07:48.777206,81,150
2025/07/11/14:07:48.827097,75,150
2025/07/11/14:07:48.877336,75,143
2025/07/11/14:07:48.927299,75,137
2025/07/11/14:07:48.977114,75,143
2025/07/11/14:07:49.027134,75,137
2025/07/11/14:07:49.077235,75,150
2025/07/11/14:07:49.127080,62,143
2025/07/11/14:07:49.177387,56,137
2025/07/11/14:07:49.227165,69,143
2025/07/11/14:07:49.277096,69,143
2025/07/11/14:07:49.327204,69,143
2025/07/11/14:07:49.377103,62,143
2025/07/11/14:07:49.427122,56,150
2025/07/11/14:07:49.477393,69,143
2025/07/11/14:07:49.527147,56,143
2025/07/11/14:07:49.577400,50,143
2025/07/11/14:07:49.627194,56,143
2025/07/11/14:07:49.677291,50,143
2025/07/11/14:07:49.727203,44,150
2025/07/11/14:07:49.777164,44,150
2025/07/11/14:07:49.827154,37,150
2025/07/11/14:07:49.877696,37,150
2025/07/11/14:07:49.927154,31,150
2025/07/11/14:07:49.977149,31,143
2025/07/11/14:07:50.027296,25,150
2025/07/11/14:07:50.077212,19,156
2025/07/11/14:07:50.126946,19,150
2025/07/11/14:07:50.177181,6,162
2025/07/11/14:07:50.227137,6,162
2025/07/11/14:07:50.277027,6,162
2025/07/11/14:07:50.327206,6,162
2025/07/11/14:07:50.377106,0,162
2025/07/11/14:07:50.427214,-6,156
2025/07/11/14:07:50.477408,0,162
2025/07/11/14:07:50.527152,0,162
2025/07/11/14:07:50.577372,0,162
2025/07/11/14:07:50.627286,0,162
2025/07/11/14:07:50.677301,0,162
2025/07/11/14:07:50.727170,0,162
2025/07/11/14:07:50.777373,0,150
2025/07/11/14:07:50.827156,-6,156
2025/07/11/14:07:50.877421,6,156
2025/07/11/14:07:50.927284,-6,156
2025/07/11/14:07:50.977227,0,150
2025/07/11/14:07:51.027293,12,156
2025/07/11/14:07:51.077358,12,156
2025/07/11/14:07:51.127159,25,150
2025/07/11/14:07:51.177171,25,156
2025/07/11/14:07:51.227087,25,156
2025/07/11/14:07:51.277124,31,162
2025/07/11/14:07:51.327168,31,156
2025/07/11/14:07:51.377348,25,156
2025/07/11/14:07:51.427131,37,156
2025/07/11/14:07:51.477248,50,156
2025/07/11/14:07:51.527112,50,150
2025/07/11/14:07:51.577368,56,143
2025/07/11/14:07:51.627186,56,143
2025/07/11/14:07:51.677181,69,150
2025/07/11/14:07:51.727195,69,156
2025/07/11/14:07:51.777172,69,150
2025/07/11/14:07:51.827034,75,156
2025/07/11/14:07:51.877372,87,156
2025/07/11/14:07:51.927122,93,150
2025/07/11/14:07:51.977082,93,156
2025/07/11/14:07:52.027119,87,156
2025/07/11/14:07:52.077177,100,156
2025/07/11/14:07:52.127112,93,162
2025/07/11/14:07:52.177113,100,156
2025/07/11/14:07:52.227123,106,156
2025/07/11/14:07:52.277046,112,156
2025/07/11/14:07:52.327116,112,162
2025/07/11/14:07:52.377150,125,162
2025/07/11/14:07:52.427064,125,168
2025/07/11/14:07:52.477283,125,162
2025/07/11/14:07:52.527111,118,168
2025/07/11/14:07:52.577090,125,168
2025/07/11/14:07:52.627244,118,162
2025/07/11/14:07:52.677140,131,162
2025/07/11/14:07:52.727200,131,168
2025/07/11/14:07:52.777299,137,168
2025/07/11/14:07:52.827121,143,162
2025/07/11/14:07:52.877399,143,162
2025/07/11/14:07:52.927159,137,162
2025/07/11/14:07:52.977311,143,156
2025/07/11/14:07:53.027244,150,162
2025/07/11/14:07:53.077435,150,162
2025/07/11/14:07:53.127155,150,175
2025/07/11/14:07:53.177051,156,168
2025/07/11/14:07:53.227020,150,162
2025/07/11/14:07:53.277229,156,168
2025/07/11/14:07:53.327303,162,162
2025/07/11/14:07:53.377370,162,162
2025/07/11/14:07:53.427134,168,168
2025/07/11/14:07:53.477652,150,162
2025/07/11/14:07:53.527149,156,162
2025/07/11/14:07:53.577124,156,168
2025/07/11/14:07:53.627315,156,156
2025/07/11/14:07:53.677108,156,156
2025/07/11/14:07:53.727138,162,156
2025/07/11/14:07:53.777307,162,156
2025/07/11/14:07:53.827122,162,156
2025/07/11/14:07:53.877764,156,150
2025/07/11/14:07:53.927131,168,150
2025/07/11/14:07:53.977182,156,143
2025/07/11/14:07:54.027329,156,150
2025/07/11/14:07:54.077455,162,150
2025/07/11/14:07:54.127123,156,143
2025/07/11/14:07:54.177501,156,143
2025/07/11/14:07:54.227122,156,143
2025/07/11/14:07:54.277126,156,131
2025/07/11/14:07:54.327242,162,137
2025/07/11/14:07:54.377134,162,137
2025/07/11/14:07:54.427219,162,137
2025/07/11/14:07:54.477560,162,125
2025/07/11/14:07:54.527208,156,125
2025/07/11/14:07:54.577431,156,112
2025/07/11/14:07:54.627228,156,118
2025/07/11/14:07:54.677306,156,125
2025/07/11/14:07:54.727310,150,106
2025/07/11/14:07:54.777351,156,106
2025/07/11/14:07:54.827092,150,100
2025/07/11/14:07:54.877437,150,100
2025/07/11/14:07:54.927125,143,100
2025/07/11/14:07:54.977425,143,93
2025/07/11/14:07:55.027219,143,81
2025/07/11/14:07:55.077131,143,87
2025/07/11/14:07:55.127142,143,81
2025/07/11/14:07:55.177387,150,81
2025/07/11/14:07:55.227129,150,81
2025/07/11/14:07:55.277420,156,81
2025/07/11/14:07:55.327196,156,81
2025/07/11/14:07:55.377228,150,62
2025/07/11/14:07:55.427185,143,62
2025/07/11/14:07:55.477354,150,69
2025/07/11/14:07:55.527074,150,56
2025/07/11/14:07:55.577654,156,50
2025/07/11/14:07:55.627158,156,50
2025/07/11/14:07:55.677260,156,50
2025/07/11/14:07:55.727224,156,50
2025/07/11/14:07:55.777121,150,31
2025/07/11/14:07:55.827196,156,25
2025/07/11/14:07:55.877415,156,25
2025/07/11/14:07:55.927225,156,12
2025/07/11/14:07:55.977518,162,19
2025/07/11/14:07:56.027108,162,6
2025/07/11/14:07:56.077202,162,12
2025/07/11/14:07:56.127170,162,12
2025/07/11/14:07:56.177176,162,0
2025/07/11/14:07:56.227560,168,6
2025/07/11/14:07:56.276985,168,6
2025/07/11/14:07:56.327071,168,6
2025/07/11/14:07:56.377280,162,0
2025/07/11/14:07:56.427159,162,0
2025/07/11/14:07:56.477192,162,6
2025/07/11/14:07:56.527549,156,0
2025/07/11/14:07:56.577185,156,6
2025/07/11/14:07:56.627190,156,6
2025/07/11/14:07:56.677231,156,6
2025/07/11/14:07:56.727132,156,0
2025/07/11/14:07:56.777252,156,6
2025/07/11/14:07:56.827107,150,19
2025/07/11/14:07:56.877119,150,19
2025/07/11/14:07:56.927230,150,6
2025/07/11/14:07:56.977518,156,19
2025/07/11/14:07:57.027236,150,25
2025/07/11/14:07:57.077516,150,19
2025/07/11/14:07:57.127268,143,37
2025/07/11/14:07:57.177186,143,31
2025/07/11/14:07:57.227308,143,37
2025/07/11/14:07:57.277512,143,44
2025/07/11/14:07:57.327221,143,44
2025/07/11/14:07:57.377535,143,50
2025/07/11/14:07:57.427243,150,44
2025/07/11/14:07:57.477183,143,44
2025/07/11/14:07:57.527300,143,50
2025/07/11/14:07:57.577186,143,44
2025/07/11/14:07:57.627190,143,50
2025/07/11/14:07:57.677408,143,56
2025/07/11/14:07:57.727243,143,62
2025/07/11/14:07:57.777562,143,62
2025/07/11/14:07:57.827316,150,75
2025/07/11/14:07:57.877311,143,75
2025/07/11/14:07:57.927285,150,75
2025/07/11/14:07:57.977679,150,75
2025/07/11/14:07:58.027194,150,75
2025/07/11/14:07:58.077577,150,75
2025/07/11/14:07:58.127146,143,81
2025/07/11/14:07:58.177330,137,69
2025/07/11/14:07:58.227286,131,75
2025/07/11/14:07:58.277215,112,62
2025/07/11/14:07:58.327142,81,44
2025/07/11/14:07:58.377335,69,56
2025/07/11/14:07:58.427141,69,44
2025/07/11/14:07:58.477137,25,12
2025/07/11/14:07:58.527238,0,0
2025/07/11/14:07:58.577364,0,0
2025/07/11/14:07:58.627205,0,0
2025/07/11/14:07:58.677720,0,0
2025/07/11/14:07:58.727144,0,0
2025/07/11/14:07:58.777399,0,0
2025/07/11/14:07:58.827268,0,0
2025/07/11/14:07:58.877274,0,0
2025/07/11/14:07:58.927275,0,0
2025/07/11/14:07:58.977175,0,0
2025/07/11/14:07:59.027090,0,0
2025/07/11/14:07:59.077458,0,0
2025/07/11/14:07:59.127121,0,0
2025/07/11/14:07:59.177197,0,0
2025/07/11/14:07:59.227258,0,0
2025/07/11/14:07:59.277406,0,0
2025/07/11/14:07:59.327300,0,0
2025/07/11/14:07:59.377351,0,0
2025/07/11/14:07:59.427273,0,0
2025/07/11/14:07:59.477323,0,0
2025/07/11/14:07:59.527066,0,0
2025/07/11/14:07:59.577341,0,0
2025/07/11/14:07:59.627348,0,0
2025/07/11/14:07:59.677610,0,0
2025/07/11/14:07:59.727361,0,0
2025/07/11/14:07:59.777344,0,0
2025/07/11/14:07:59.827258,0,0
2025/07/11/14:07:59.877405,0,0
2025/07/11/14:07:59.927207,0,0
2025/07/11/14:07:59.977316,0,0
2025/07/11/14:08:00.027433,0,0
2025/07/11/14:08:00.077403,0,0
2025/07/11/14:08:00.127317,0,0
2025/07/11/14:08:00.177513,0,0
2025/07/11/14:08:00.227277,0,0
2025/07/11/14:08:00.277270,0,0
2025/07/11/14:08:00.327256,0,0
2025/07/11/14:08:00.377156,0,0
2025/07/11/14:08:00.427167,0,0
2025/07/11/14:08:00.477122,0,0
2025/07/11/14:08:00.527161,0,0
2025/07/11/14:08:00.577128,0,0
2025/07/11/14:08:00.627361,0,0
2025/07/11/14:08:00.678003,0,0
2025/07/11/14:08:00.727277,0,0
2025/07/11/14:08:00.777618,0,0
2025/07/11/14:08:00.827304,0,0
2025/07/11/14:08:00.877537,0,0
2025/07/11/14:08:00.927242,0,0
2025/07/11/14:08:00.977390,0,0
2025/07/11/14:08:01.027338,0,0
2025/07/11/14:08:01.077432,0,0
2025/07/11/14:08:01.127352,0,0
2025/07/11/14:08:01.177358,0,0
2025/07/11/14:08:01.227319,0,0
2025/07/11/14:08:01.277315,0,0
2025/07/11/14:08:01.327173,0,0
2025/07/11/14:08:01.377363,0,0
2025/07/11/14:08:01.427357,0,0
2025/07/11/14:08:01.477603,0,0
2025/07/11/14:08:01.527325,0,0
2025/07/11/14:08:01.577555,0,0
2025/07/11/14:08:01.627381,0,0
2025/07/11/14:08:01.677340,0,0
2025/07/11/14:08:01.727277,0,0
2025/07/11/14:08:01.777587,0,0
2025/07/11/14:08:01.827180,0,0
2025/07/11/14:08:01.877531,0,0
2025/07/11/14:08:01.927164,0,0
2025/07/11/14:08:01.977587,0,0
2025/07/11/14:08:02.027121,0,0
2025/07/11/14:08:02.077552,0,0
2025/07/11/14:08:02.127211,0,0
2025/07/11/14:08:02.177383,0,0
2025/07/11/14:08:02.227159,0,0
