time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2025/07/11/14:10:48.021001,0.25255554155534526,0.0,0.0,0.0,0.0,0.547867790598562
2025/07/11/14:10:48.070646,0.2565211884197618,0.0,0.0,0.0,0.0,0.5254251187716568
2025/07/11/14:10:48.121514,0.2604711350683007,0.0,0.0,0.0,0.0,0.5041979103764699
2025/07/11/14:10:48.170859,0.2643850052050161,0.0,0.0,0.0,0.0,0.48419716273546515
2025/07/11/14:10:48.221498,0.2682437134413772,0.0,0.0,0.0,0.0,0.4654177648072159
2025/07/11/14:10:48.270684,0.27202942670315616,0.0,0.0,0.0,0.0,0.44784231180120765
2025/07/11/14:10:48.321334,0.2757255192735978,0.0,0.0,0.0,0.0,0.4314443284994037
2025/07/11/14:10:48.370739,0.27931652428870435,0.0,0.0,0.0,0.0,0.41619094578683746
2025/07/11/14:10:48.421804,0.2827880838395501,0.0,0.0,0.0,0.0,0.40204508846176173
2025/07/11/14:10:48.470708,0.28612689928916346,0.0,0.0,0.0,0.0,0.38896723752531914
2025/07/11/14:10:48.521616,0.2893206829681781,0.0,0.0,0.0,0.0,0.3769168297106133
2025/07/11/14:10:48.570765,0.2923581120616834,0.0,0.0,0.0,0.0,0.3658533531675642
2025/07/11/14:10:48.621490,0.2952287852267088,0.0,0.0,0.0,0.0,0.3557371925343926
2025/07/11/14:10:48.670679,0.2979231822711417,0.0,0.0,0.0,0.0,0.3465302701678043
2025/07/11/14:10:48.722541,0.300432627069697,0.0,0.0,0.0,0.0,0.3381965237608955
2025/07/11/14:10:48.771009,0.30274925377985007,0.0,0.0,0.0,0.0,0.3307022543710801
2025/07/11/14:10:48.822017,0.30486597634079093,0.0,0.0,0.0,0.0,0.32401637323732924
2025/07/11/14:10:48.871131,0.30677646118570245,0.0,0.0,0.0,0.0,0.3181105707858592
2025/07/11/14:10:48.921942,0.3084751030640156,0.0,0.0,0.0,0.0,0.312959426921574
2025/07/11/14:10:48.970916,0.3099570038522499,0.0,0.0,0.0,0.0,0.30854047804547396
2025/07/11/14:10:49.021499,0.31121795422568027,0.0,0.0,0.0,0.0,0.3048342531700448
