time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:08:48.177315,0,162
2025/07/11/14:08:48.227330,0,168
2025/07/11/14:08:48.277523,0,162
2025/07/11/14:08:48.327275,0,156
2025/07/11/14:08:48.377449,6,162
2025/07/11/14:08:48.427311,12,156
2025/07/11/14:08:48.477517,19,150
2025/07/11/14:08:48.527276,19,150
2025/07/11/14:08:48.577454,19,150
2025/07/11/14:08:48.627307,25,150
2025/07/11/14:08:48.677219,25,143
2025/07/11/14:08:48.727261,25,150
2025/07/11/14:08:48.777400,25,143
2025/07/11/14:08:48.827256,25,143
2025/07/11/14:08:48.877487,25,150
2025/07/11/14:08:48.927250,44,143
2025/07/11/14:08:48.977318,37,143
2025/07/11/14:08:49.027320,44,143
2025/07/11/14:08:49.077215,44,150
2025/07/11/14:08:49.127273,44,143
2025/07/11/14:08:49.177313,44,150
2025/07/11/14:08:49.227258,50,150
2025/07/11/14:08:49.277184,50,143
2025/07/11/14:08:49.327292,56,137
2025/07/11/14:08:49.377591,69,131
2025/07/11/14:08:49.427278,69,137
2025/07/11/14:08:49.477149,69,150
2025/07/11/14:08:49.527219,62,156
2025/07/11/14:08:49.577157,62,150
2025/07/11/14:08:49.627254,69,137
2025/07/11/14:08:49.677160,75,150
2025/07/11/14:08:49.727281,81,137
2025/07/11/14:08:49.777146,75,150
2025/07/11/14:08:49.827247,75,143
2025/07/11/14:08:49.877377,75,150
2025/07/11/14:08:49.927142,81,143
2025/07/11/14:08:49.977147,81,143
2025/07/11/14:08:50.027140,87,143
2025/07/11/14:08:50.077244,87,150
2025/07/11/14:08:50.127168,75,150
2025/07/11/14:08:50.177269,81,150
2025/07/11/14:08:50.227116,75,150
2025/07/11/14:08:50.277320,81,143
2025/07/11/14:08:50.327197,81,143
2025/07/11/14:08:50.377379,81,143
2025/07/11/14:08:50.427105,75,137
2025/07/11/14:08:50.477225,75,143
2025/07/11/14:08:50.527256,75,143
2025/07/11/14:08:50.577328,75,143
2025/07/11/14:08:50.627200,69,143
2025/07/11/14:08:50.677159,62,137
2025/07/11/14:08:50.727188,62,137
2025/07/11/14:08:50.777333,69,143
2025/07/11/14:08:50.827196,62,137
2025/07/11/14:08:50.877134,69,137
2025/07/11/14:08:50.927131,62,143
2025/07/11/14:08:50.977391,62,143
2025/07/11/14:08:51.027152,56,143
2025/07/11/14:08:51.077136,69,143
2025/07/11/14:08:51.127112,62,137
2025/07/11/14:08:51.177176,56,143
2025/07/11/14:08:51.227137,50,143
2025/07/11/14:08:51.277058,56,143
2025/07/11/14:08:51.327052,56,150
2025/07/11/14:08:51.377269,50,143
2025/07/11/14:08:51.427171,50,137
2025/07/11/14:08:51.477243,50,143
2025/07/11/14:08:51.527158,44,137
2025/07/11/14:08:51.577115,37,150
2025/07/11/14:08:51.627153,44,150
2025/07/11/14:08:51.677136,44,150
2025/07/11/14:08:51.727184,37,156
2025/07/11/14:08:51.777115,25,150
2025/07/11/14:08:51.827179,25,156
2025/07/11/14:08:51.877151,25,150
2025/07/11/14:08:51.927128,19,156
2025/07/11/14:08:51.977144,25,156
2025/07/11/14:08:52.027188,6,156
2025/07/11/14:08:52.077209,6,162
2025/07/11/14:08:52.127131,6,162
2025/07/11/14:08:52.177168,-6,168
2025/07/11/14:08:52.227194,0,162
2025/07/11/14:08:52.277208,0,162
2025/07/11/14:08:52.327165,0,162
2025/07/11/14:08:52.377217,-6,168
2025/07/11/14:08:52.427178,0,162
2025/07/11/14:08:52.477226,0,162
2025/07/11/14:08:52.527205,0,162
2025/07/11/14:08:52.577202,0,162
2025/07/11/14:08:52.627228,6,156
2025/07/11/14:08:52.677144,-6,156
2025/07/11/14:08:52.727229,12,150
2025/07/11/14:08:52.777142,12,150
2025/07/11/14:08:52.827255,6,150
2025/07/11/14:08:52.877178,19,143
2025/07/11/14:08:52.927274,25,150
2025/07/11/14:08:52.977126,25,143
2025/07/11/14:08:53.027246,31,156
2025/07/11/14:08:53.077180,37,162
2025/07/11/14:08:53.127219,44,156
2025/07/11/14:08:53.177197,44,150
2025/07/11/14:08:53.227241,50,156
2025/07/11/14:08:53.277234,50,156
2025/07/11/14:08:53.327210,50,150
2025/07/11/14:08:53.377141,44,156
2025/07/11/14:08:53.427221,62,150
2025/07/11/14:08:53.477167,62,150
2025/07/11/14:08:53.527295,75,156
2025/07/11/14:08:53.577175,69,150
2025/07/11/14:08:53.627267,87,156
2025/07/11/14:08:53.677156,75,156
2025/07/11/14:08:53.727277,87,150
2025/07/11/14:08:53.777143,81,156
2025/07/11/14:08:53.827206,100,162
2025/07/11/14:08:53.877102,100,156
2025/07/11/14:08:53.927269,100,150
2025/07/11/14:08:53.977224,112,156
2025/07/11/14:08:54.027178,112,156
2025/07/11/14:08:54.077285,112,162
2025/07/11/14:08:54.127278,118,156
2025/07/11/14:08:54.177177,125,162
2025/07/11/14:08:54.227221,125,162
2025/07/11/14:08:54.277205,131,162
2025/07/11/14:08:54.327233,131,168
2025/07/11/14:08:54.377115,137,162
2025/07/11/14:08:54.427224,137,156
2025/07/11/14:08:54.477283,143,162
2025/07/11/14:08:54.527240,137,162
2025/07/11/14:08:54.577189,137,175
2025/07/11/14:08:54.627204,137,168
2025/07/11/14:08:54.677161,143,175
2025/07/11/14:08:54.727236,150,168
2025/07/11/14:08:54.777245,150,175
2025/07/11/14:08:54.827210,156,168
2025/07/11/14:08:54.877245,150,168
2025/07/11/14:08:54.927244,156,168
2025/07/11/14:08:54.977323,150,162
2025/07/11/14:08:55.027274,156,156
2025/07/11/14:08:55.077268,156,162
2025/07/11/14:08:55.127486,156,168
2025/07/11/14:08:55.177236,162,168
2025/07/11/14:08:55.227272,162,168
2025/07/11/14:08:55.277225,156,162
2025/07/11/14:08:55.327241,156,156
2025/07/11/14:08:55.377214,168,162
2025/07/11/14:08:55.427211,150,156
2025/07/11/14:08:55.477449,150,150
2025/07/11/14:08:55.527254,156,156
2025/07/11/14:08:55.577409,156,162
2025/07/11/14:08:55.627247,156,150
2025/07/11/14:08:55.677207,162,143
2025/07/11/14:08:55.727243,162,150
2025/07/11/14:08:55.777283,168,150
2025/07/11/14:08:55.827189,162,156
2025/07/11/14:08:55.877317,162,150
2025/07/11/14:08:55.927250,162,143
2025/07/11/14:08:55.977257,162,137
2025/07/11/14:08:56.027228,162,131
2025/07/11/14:08:56.077306,156,137
2025/07/11/14:08:56.127203,156,137
2025/07/11/14:08:56.177218,150,131
2025/07/11/14:08:56.227283,156,125
2025/07/11/14:08:56.277220,150,125
2025/07/11/14:08:56.327222,162,118
2025/07/11/14:08:56.377234,162,112
2025/07/11/14:08:56.427258,156,118
2025/07/11/14:08:56.477251,156,112
2025/07/11/14:08:56.527393,150,100
2025/07/11/14:08:56.577238,143,100
2025/07/11/14:08:56.627246,156,100
2025/07/11/14:08:56.677204,150,100
2025/07/11/14:08:56.727226,156,100
2025/07/11/14:08:56.777445,150,81
2025/07/11/14:08:56.827187,150,87
2025/07/11/14:08:56.877326,143,81
2025/07/11/14:08:56.927231,143,87
2025/07/11/14:08:56.977322,137,75
2025/07/11/14:08:57.027254,150,75
2025/07/11/14:08:57.077290,150,69
2025/07/11/14:08:57.127218,150,69
2025/07/11/14:08:57.177164,150,69
2025/07/11/14:08:57.227304,150,56
2025/07/11/14:08:57.277405,150,56
2025/07/11/14:08:57.327318,156,50
2025/07/11/14:08:57.377210,156,56
2025/07/11/14:08:57.427208,156,50
2025/07/11/14:08:57.477370,150,44
2025/07/11/14:08:57.527239,156,31
2025/07/11/14:08:57.577192,156,25
2025/07/11/14:08:57.627225,162,19
2025/07/11/14:08:57.677301,162,19
2025/07/11/14:08:57.727232,156,25
2025/07/11/14:08:57.777478,156,6
2025/07/11/14:08:57.827425,162,6
2025/07/11/14:08:57.877301,156,19
2025/07/11/14:08:57.927465,162,0
2025/07/11/14:08:57.977281,162,6
2025/07/11/14:08:58.027286,168,6
2025/07/11/14:08:58.077451,162,12
2025/07/11/14:08:58.127363,162,6
2025/07/11/14:08:58.177382,156,12
2025/07/11/14:08:58.227388,156,19
2025/07/11/14:08:58.277276,162,0
2025/07/11/14:08:58.327237,156,0
2025/07/11/14:08:58.377283,162,6
2025/07/11/14:08:58.427429,150,12
2025/07/11/14:08:58.477365,150,6
2025/07/11/14:08:58.527242,150,0
2025/07/11/14:08:58.577330,150,6
2025/07/11/14:08:58.627425,150,19
2025/07/11/14:08:58.677243,150,19
2025/07/11/14:08:58.727222,150,25
2025/07/11/14:08:58.777244,156,25
2025/07/11/14:08:58.827223,143,19
2025/07/11/14:08:58.877219,150,31
2025/07/11/14:08:58.927251,150,37
2025/07/11/14:08:58.977277,143,44
2025/07/11/14:08:59.027242,143,44
2025/07/11/14:08:59.077504,150,37
2025/07/11/14:08:59.127347,143,44
2025/07/11/14:08:59.177356,137,50
2025/07/11/14:08:59.227224,143,50
2025/07/11/14:08:59.277379,137,50
2025/07/11/14:08:59.327184,143,50
2025/07/11/14:08:59.377298,143,62
2025/07/11/14:08:59.427318,143,56
2025/07/11/14:08:59.477487,143,56
2025/07/11/14:08:59.527226,150,62
2025/07/11/14:08:59.577332,143,56
2025/07/11/14:08:59.627203,143,69
2025/07/11/14:08:59.677190,143,62
2025/07/11/14:08:59.727267,150,69
2025/07/11/14:08:59.777388,150,69
2025/07/11/14:08:59.827256,143,69
2025/07/11/14:08:59.877234,143,75
2025/07/11/14:08:59.927320,143,81
2025/07/11/14:08:59.977481,137,87
2025/07/11/14:09:00.027218,118,56
2025/07/11/14:09:00.077875,87,31
2025/07/11/14:09:00.127048,81,50
2025/07/11/14:09:00.177058,62,37
2025/07/11/14:09:00.227221,12,6
2025/07/11/14:09:00.277256,0,0
2025/07/11/14:09:00.327361,0,0
2025/07/11/14:09:00.377306,0,0
2025/07/11/14:09:00.427410,0,0
2025/07/11/14:09:00.477483,0,0
2025/07/11/14:09:00.527349,0,0
2025/07/11/14:09:00.577567,0,0
2025/07/11/14:09:00.627402,0,0
2025/07/11/14:09:00.677155,0,0
2025/07/11/14:09:00.727151,0,0
2025/07/11/14:09:00.777254,0,0
2025/07/11/14:09:00.827160,0,0
2025/07/11/14:09:00.877260,0,0
2025/07/11/14:09:00.927216,0,0
2025/07/11/14:09:00.977304,0,0
2025/07/11/14:09:01.027167,0,0
2025/07/11/14:09:01.077281,0,0
2025/07/11/14:09:01.127278,0,0
2025/07/11/14:09:01.177318,0,0
2025/07/11/14:09:01.227243,0,0
