time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2025/07/11/14:09:39.508549,0.26022551934963467,0.0,0.0,0.0,0.0,-0.5953465040690912
2025/07/11/14:09:39.558374,0.2660640380390213,0.0,0.0,0.0,0.0,-0.5654508406961194
2025/07/11/14:09:39.608143,0.2720544432418531,0.0,0.0,0.0,0.0,-0.5364437128486226
2025/07/11/14:09:39.658405,0.27817193842600374,0.0,0.0,0.0,0.0,-0.5084338625354654
2025/07/11/14:09:39.708178,0.28439259915640713,0.0,0.0,0.0,0.0,-0.48149458466773193
2025/07/11/14:09:39.758586,0.2906934297840858,0.0,0.0,0.0,0.0,-0.455669481254482
2025/07/11/14:09:39.808031,0.29705239362481,0.0,0.0,0.0,0.0,-0.43097782516670863
2025/07/11/14:09:39.858036,0.3034484225030471,0.0,0.0,0.0,0.0,-0.4074193885694911
2025/07/11/14:09:39.908199,0.30986141071149537,0.0,0.0,0.0,0.0,-0.384978670637288
2025/07/11/14:09:39.958093,0.3162721976076561,0.0,0.0,0.0,0.0,-0.36362851527261547
2025/07/11/14:09:40.008216,0.322662542291047,0.0,0.0,0.0,0.0,-0.34333314629853423
2025/07/11/14:09:40.058412,0.3290150931080956,0.0,0.0,0.0,0.0,-0.3240506693668148
2025/07/11/14:09:40.108425,0.3353133541293685,0.0,0.0,0.0,0.0,-0.3057351006511885
2025/07/11/14:09:40.158559,0.3415416502369713,0.0,0.0,0.0,0.0,-0.2883379856714576
2025/07/11/14:09:40.208395,0.3476850920430447,0.0,0.0,0.0,0.0,-0.27180966998455336
2025/07/11/14:09:40.258639,0.3537295415238784,0.0,0.0,0.0,0.0,-0.25610027896511534
2025/07/11/14:09:40.308132,0.35966157898769185,0.0,0.0,0.0,0.0,-0.24116045789147966
2025/07/11/14:09:40.357617,0.3654684717862764,0.0,0.0,0.0,0.0,-0.226941917002002
2025/07/11/14:09:40.408396,0.3711381450213466,0.0,0.0,0.0,0.0,-0.21339781969612215
2025/07/11/14:09:40.458299,0.37665915437648007,0.0,0.0,0.0,0.0,-0.20048304598398678
2025/07/11/14:09:40.508377,0.38202066111679245,0.0,0.0,0.0,0.0,-0.18815435782263012
2025/07/11/14:09:40.558214,0.3872124092345523,0.0,0.0,0.0,0.0,-0.1763704881891716
2025/07/11/14:09:40.608321,0.39222470467413517,0.0,0.0,0.0,0.0,-0.16509217163279163
2025/07/11/14:09:40.658259,0.3970483965397838,0.0,0.0,0.0,0.0,-0.15428213057815346
2025/07/11/14:09:40.708289,0.4016748601707526,0.0,0.0,0.0,0.0,-0.1439050287615306
2025/07/11/14:09:40.758358,0.4060959819580833,0.0,0.0,0.0,0.0,-0.13392740079419044
2025/07/11/14:09:40.808261,0.4103041457728613,0.0,0.0,0.0,0.0,-0.12431756489871333
2025/07/11/14:09:40.858777,0.4142922208760778,0.0,0.0,0.0,0.0,-0.11504552428184454
2025/07/11/14:09:40.908004,0.4180535511836714,0.0,0.0,0.0,0.0,-0.10608286133160562
2025/07/11/14:09:40.958186,0.4215819457656804,0.0,0.0,0.0,0.0,-0.09740262780663905
2025/07/11/14:09:41.008308,0.4248716704655414,0.0,0.0,0.0,0.0,-0.08897923337246447
2025/07/11/14:09:41.058273,0.42791744053332964,0.0,0.0,0.0,0.0,-0.08078833419511852
2025/07/11/14:09:41.108230,0.43071441417500167,0.0,0.0,0.0,0.0,-0.07280672279549295
2025/07/11/14:09:41.158206,0.4332581869282683,0.0,0.0,0.0,0.0,-0.06501221996975995
2025/07/11/14:09:41.208253,0.43554478678409647,0.0,0.0,0.0,0.0,-0.057383569271567986
2025/07/11/14:09:41.258099,0.4375706699812657,0.0,0.0,0.0,0.0,-0.049900334311179365
2025/07/11/14:09:41.308249,0.4393327174093528,0.0,0.0,0.0,0.0,-0.04254279894111214
2025/07/11/14:09:41.358351,0.44082823156339535,0.0,0.0,0.0,0.0,-0.03529187025665414
2025/07/11/14:09:41.408077,0.4420549340010828,0.0,0.0,0.0,0.0,-0.028128984231417967
2025/07/11/14:09:41.458419,0.44301096326043965,0.0,0.0,0.0,0.0,-0.02103601372698858
2025/07/11/14:09:41.508521,0.4436948732029437,0.0,0.0,0.0,0.0,-0.013995178555444413
2025/07/11/14:09:41.558670,0.44410563175380546,0.0,0.0,0.0,0.0,-0.006988957229069818
2025/07/11/14:09:41.608276,0.4442426200176136,0.0,0.0,0.0,0.0,0.0
2025/07/11/14:09:41.658801,0.4441056317538118,0.0,0.0,0.0,0.0,0.006988957229069818
2025/07/11/14:09:41.708230,0.4436948732029405,0.0,0.0,0.0,0.0,0.013995178555444413
2025/07/11/14:09:41.758558,0.4430109632604365,0.0,0.0,0.0,0.0,0.02103601372698858
2025/07/11/14:09:41.808262,0.4420549340010797,0.0,0.0,0.0,0.0,0.028128984231417967
2025/07/11/14:09:41.858283,0.44082823156339535,0.0,0.0,0.0,0.0,0.03529187025665414
2025/07/11/14:09:41.908236,0.4393327174093591,0.0,0.0,0.0,0.0,0.04254279894111214
2025/07/11/14:09:41.958499,0.4375706699812658,0.0,0.0,0.0,0.0,0.049900334311183556
2025/07/11/14:09:42.008102,0.4355447867840902,0.0,0.0,0.0,0.0,0.057383569271563795
2025/07/11/14:09:42.058473,0.43325818692826235,0.0,0.0,0.0,0.0,0.06501221996974738
2025/07/11/14:09:42.108229,0.4307144141750077,0.0,0.0,0.0,0.0,0.07280672279550132
2025/07/11/14:09:42.158888,0.42791744053333536,0.0,0.0,0.0,0.0,0.08078833419512689
2025/07/11/14:09:42.208297,0.42487167046553825,0.0,0.0,0.0,0.0,0.08897923337245608
2025/07/11/14:09:42.258697,0.4215819457656775,0.0,0.0,0.0,0.0,0.09740262780663905
2025/07/11/14:09:42.308381,0.4180535511836685,0.0,0.0,0.0,0.0,0.10608286133161819
2025/07/11/14:09:42.358341,0.41429222087608386,0.0,0.0,0.0,0.0,0.11504552428185712
2025/07/11/14:09:42.408274,0.4103041457728642,0.0,0.0,0.0,0.0,0.12431756489869657
2025/07/11/14:09:42.458348,0.40609598195808283,0.0,0.0,0.0,0.0,0.13392740079416948
2025/07/11/14:09:42.508397,0.4016748601707471,0.0,0.0,0.0,0.0,0.14390502876154737
2025/07/11/14:09:42.558395,0.3970483965397783,0.0,0.0,0.0,0.0,0.15428213057814927
2025/07/11/14:09:42.608296,0.39222470467414067,0.0,0.0,0.0,0.0,0.16509217163277906
2025/07/11/14:09:42.658585,0.3872124092345574,0.0,0.0,0.0,0.0,0.17637048818918416
2025/07/11/14:09:42.708292,0.38202066111679245,0.0,0.0,0.0,0.0,0.18815435782262593
2025/07/11/14:09:42.758276,0.37665915437647535,0.0,0.0,0.0,0.0,0.20048304598399097
2025/07/11/14:09:42.808221,0.3711381450213443,0.0,0.0,0.0,0.0,0.2133978196961431
2025/07/11/14:09:42.858148,0.3654684717862788,0.0,0.0,0.0,0.0,0.226941917002002
2025/07/11/14:09:42.908277,0.35966157898769663,0.0,0.0,0.0,0.0,0.2411604578914587
2025/07/11/14:09:42.957980,0.3537295415238779,0.0,0.0,0.0,0.0,0.25610027896511534
2025/07/11/14:09:43.008432,0.347685092043042,0.0,0.0,0.0,0.0,0.2718096699845701
2025/07/11/14:09:43.058193,0.34154165023696975,0.0,0.0,0.0,0.0,0.2883379856714492
2025/07/11/14:09:43.108418,0.33531335412937124,0.0,0.0,0.0,0.0,0.3057351006511843
2025/07/11/14:09:43.158133,0.32901509310809485,0.0,0.0,0.0,0.0,0.3240506693668274
2025/07/11/14:09:43.208417,0.32266254229104424,0.0,0.0,0.0,0.0,0.3433331462985133
2025/07/11/14:09:43.258324,0.3162721976076564,0.0,0.0,0.0,0.0,0.36362851527261125
2025/07/11/14:09:43.308581,0.30986141071149337,0.0,0.0,0.0,0.0,0.38497867063730895
2025/07/11/14:09:43.358458,0.30344842250305204,0.0,0.0,0.0,0.0,0.40741938856949944
2025/07/11/14:09:43.408746,0.29705239362481345,0.0,0.0,0.0,0.0,0.4309778251667212
2025/07/11/14:09:43.458274,0.2906934297840831,0.0,0.0,0.0,0.0,0.4556694812544736
2025/07/11/14:09:43.508669,0.2843925991564059,0.0,0.0,0.0,0.0,0.4814945846677068
2025/07/11/14:09:43.558246,0.2781719384260015,0.0,0.0,0.0,0.0,0.5084338625354529
2025/07/11/14:09:43.608725,0.2720544432418508,0.0,0.0,0.0,0.0,0.5364437128486309
2025/07/11/14:09:43.658206,0.2660640380390248,0.0,0.0,0.0,0.0,0.5654508406961236
2025/07/11/14:09:43.708560,0.2602255193496359,0.0,0.0,0.0,0.0,0.5953465040690871
2025/07/11/14:09:43.758386,0.25456446599297466,0.0,0.0,0.0,0.0,0.6259806196355951
2025/07/11/14:09:43.808734,0.24910710901583122,0.0,0.0,0.0,0.0,0.6571561097215813
2025/07/11/14:09:43.858136,0.24388015412060748,0.0,0.0,0.0,0.0,0.6886240216640367
2025/07/11/14:09:43.908491,0.2389105497785134,0.0,0.0,0.0,0.0,0.7200801052516599
2025/07/11/14:09:43.958297,0.2342251955111796,0.0,0.0,0.0,0.0,0.7511636681006033
2025/07/11/14:09:44.008572,0.22985058716331147,0.0,0.0,0.0,0.0,0.7814596061460307
2025/07/11/14:09:44.058477,0.2258123995519271,0.0,0.0,0.0,0.0,0.8105044816155076
2025/07/11/14:09:44.108680,0.22213501170874728,0.0,0.0,0.0,0.0,0.8377973468021747
2025/07/11/14:09:44.158225,0.21884098587119816,0.0,0.0,0.0,0.0,0.8628156527844816
2025/07/11/14:09:44.208765,0.2159505179917487,0.0,0.0,0.0,0.0,0.8850360307404788
2025/07/11/14:09:44.258245,0.21348088408836485,0.0,0.0,0.0,0.0,0.9039590288686017
2025/07/11/14:09:44.308691,0.21144591225450604,0.0,0.0,0.0,0.0,0.9191361261249728
2025/07/11/14:09:44.358125,0.20985551346248976,0.0,0.0,0.0,0.0,0.9301966721446088
2025/07/11/14:09:44.408812,0.20871530440924135,0.0,0.0,0.0,0.0,0.9368719916856356
2025/07/11/14:09:44.458282,0.2080263519261919,0.0,0.0,0.0,0.0,0.9390138895039307
2025/07/11/14:09:44.508640,0.2077850608850621,0.0,0.0,0.0,0.0,0.9366052694191904
2025/07/11/14:09:44.558344,0.20798321680366605,0.0,0.0,0.0,0.0,0.9297614968257133
2025/07/11/14:09:44.608597,0.2086081818870305,0.0,0.0,0.0,0.0,0.9187223264231439
2025/07/11/14:09:44.658364,0.2096432308278562,0.0,0.0,0.0,0.0,0.90383544622445
2025/07/11/14:09:44.708879,0.21106800213804455,0.0,0.0,0.0,0.0,0.8855337038501366
2025/07/11/14:09:44.758278,0.21285903349065327,0.0,0.0,0.0,0.0,0.8643086929256792
2025/07/11/14:09:44.808633,0.21499034624010416,0.0,0.0,0.0,0.0,0.8406835084755565
2025/07/11/14:09:44.858291,0.2174340449171256,0.0,0.0,0.0,0.0,0.815187172474406
2025/07/11/14:09:44.908529,0.22016090138094785,0.0,0.0,0.0,0.0,0.7883326155348741
2025/07/11/14:09:44.958383,0.22314089938086945,0.0,0.0,0.0,0.0,0.7605993477538185
2025/07/11/14:09:45.008581,0.22634372235295086,0.0,0.0,0.0,0.0,0.732421218623617
2025/07/11/14:09:45.058016,0.2297391743124883,0.0,0.0,0.0,0.0,0.7041790645998232
2025/07/11/14:09:45.108596,0.23329752993456743,0.0,0.0,0.0,0.0,0.6761976281851789
2025/07/11/14:09:45.158348,0.23698981490262017,0.0,0.0,0.0,0.0,0.6487459085603128
2025/07/11/14:09:45.208728,0.24078802120096054,0.0,0.0,0.0,0.0,0.6220400412191379
2025/07/11/14:09:45.258329,0.2446652642982997,0.0,0.0,0.0,0.0,0.5962478572838869
2025/07/11/14:09:45.308818,0.24859589031624385,0.0,0.0,0.0,0.0,0.5714943953601549
2025/07/11/14:09:45.358448,0.25255554155534526,0.0,0.0,0.0,0.0,0.547867790598562
2025/07/11/14:09:45.408560,0.2565211884197618,0.0,0.0,0.0,0.0,0.5254251187716568
2025/07/11/14:09:45.458635,0.2604711350683007,0.0,0.0,0.0,0.0,0.5041979103764699
2025/07/11/14:09:45.508636,0.2643850052050161,0.0,0.0,0.0,0.0,0.48419716273546515
2025/07/11/14:09:45.558314,0.2682437134413772,0.0,0.0,0.0,0.0,0.4654177648072159
2025/07/11/14:09:45.608454,0.27202942670315616,0.0,0.0,0.0,0.0,0.44784231180120765
2025/07/11/14:09:45.658511,0.2757255192735978,0.0,0.0,0.0,0.0,0.4314443284994037
2025/07/11/14:09:45.708369,0.27931652428870435,0.0,0.0,0.0,0.0,0.41619094578683746
2025/07/11/14:09:45.758355,0.2827880838395501,0.0,0.0,0.0,0.0,0.40204508846176173
2025/07/11/14:09:45.808726,0.28612689928916346,0.0,0.0,0.0,0.0,0.38896723752531914
2025/07/11/14:09:45.858364,0.2893206829681781,0.0,0.0,0.0,0.0,0.3769168297106133
2025/07/11/14:09:45.908679,0.2923581120616834,0.0,0.0,0.0,0.0,0.3658533531675642
2025/07/11/14:09:45.958114,0.2952287852267088,0.0,0.0,0.0,0.0,0.3557371925343926
2025/07/11/14:09:46.008631,0.2979231822711417,0.0,0.0,0.0,0.0,0.3465302701678043
2025/07/11/14:09:46.058182,0.300432627069697,0.0,0.0,0.0,0.0,0.3381965237608955
2025/07/11/14:09:46.108353,0.30274925377985007,0.0,0.0,0.0,0.0,0.3307022543710801
2025/07/11/14:09:46.158121,0.30486597634079093,0.0,0.0,0.0,0.0,0.32401637323732924
2025/07/11/14:09:46.208230,0.30677646118570245,0.0,0.0,0.0,0.0,0.3181105707858592
2025/07/11/14:09:46.258112,0.3084751030640156,0.0,0.0,0.0,0.0,0.312959426921574
2025/07/11/14:09:46.308354,0.3099570038522499,0.0,0.0,0.0,0.0,0.30854047804547396
2025/07/11/14:09:46.358337,0.31121795422568027,0.0,0.0,0.0,0.0,0.3048342531700448
2025/07/11/14:09:46.408288,0.31225441806467763,0.0,0.0,0.0,0.0,0.30182428894941343
2025/07/11/14:09:46.458506,0.31306351947788114,0.0,0.0,0.0,0.0,0.2994971313227103
2025/07/11/14:09:46.508322,0.3136430323367939,0.0,0.0,0.0,0.0,0.29784232971700414
2025/07/11/14:09:46.558249,0.313991372232252,0.0,0.0,0.0,0.0,0.2968524282992603
2025/07/11/14:09:46.608206,0.3141075907812811,0.0,0.0,0.0,0.0,0.29652295753992713
2025/07/11/14:09:46.658351,0.31399137223226103,0.0,0.0,0.0,0.0,0.29685242829925396
2025/07/11/14:09:46.707905,0.31364303233679836,0.0,0.0,0.0,0.0,0.2978423297169413
2025/07/11/14:09:46.758315,0.3130635194778811,0.0,0.0,0.0,0.0,0.29949713132269773
2025/07/11/14:09:46.808160,0.3122544180646689,0.0,0.0,0.0,0.0,0.30182428894945956
2025/07/11/14:09:46.858379,0.31121795422567583,0.0,0.0,0.0,0.0,0.304834253170093
2025/07/11/14:09:46.907955,0.30995700385226316,0.0,0.0,0.0,0.0,0.3085404780454635
2025/07/11/14:09:46.958267,0.3084751030640156,0.0,0.0,0.0,0.0,0.3129594269215615
2025/07/11/14:09:47.008111,0.30677646118569807,0.0,0.0,0.0,0.0,0.31811057078584454
2025/07/11/14:09:47.058511,0.3048659763407864,0.0,0.0,0.0,0.0,0.3240163732372915
2025/07/11/14:09:47.108248,0.3027492537798542,0.0,0.0,0.0,0.0,0.3307022543711387
2025/07/11/14:09:47.158905,0.3004326270697014,0.0,0.0,0.0,0.0,0.33819652376094367
2025/07/11/14:09:47.208494,0.2979231822711373,0.0,0.0,0.0,0.0,0.34653027016773097
2025/07/11/14:09:47.258524,0.29522878522671286,0.0,0.0,0.0,0.0,0.35573719253432345
2025/07/11/14:09:47.308547,0.29235811206167905,0.0,0.0,0.0,0.0,0.36585335316759354
2025/07/11/14:09:47.358418,0.28932068296817376,0.0,0.0,0.0,0.0,0.3769168297106552
2025/07/11/14:09:47.408388,0.28612689928917157,0.0,0.0,0.0,0.0,0.3889672375253212
2025/07/11/14:09:47.458778,0.2827880838395461,0.0,0.0,0.0,0.0,0.4020450884618078
2025/07/11/14:09:47.508304,0.27931652428869663,0.0,0.0,0.0,0.0,0.41619094578683535
2025/07/11/14:09:47.558030,0.2757255192735943,0.0,0.0,0.0,0.0,0.4314443284993073
2025/07/11/14:09:47.608293,0.2720294267031598,0.0,0.0,0.0,0.0,0.44784231180120976
2025/07/11/14:09:47.658637,0.26824371344138864,0.0,0.0,0.0,0.0,0.46541776480728714
2025/07/11/14:09:47.708399,0.2643850052050091,0.0,0.0,0.0,0.0,0.4841971627354421
2025/07/11/14:09:47.758386,0.2604711350682967,0.0,0.0,0.0,0.0,0.504197910376428
2025/07/11/14:09:47.808516,0.2565211884197653,0.0,0.0,0.0,0.0,0.5254251187717112
2025/07/11/14:09:47.858727,0.25255554155534576,0.0,0.0,0.0,0.0,0.5478677905985998
2025/07/11/14:09:47.907457,0.2485958903162474,0.0,0.0,0.0,0.0,0.571494395360113
2025/07/11/14:09:47.957174,0.24466526429829571,0.0,0.0,0.0,0.0,0.5962478572838785
2025/07/11/14:09:48.007883,0.24078802120096404,0.0,0.0,0.0,0.0,0.6220400412191464
2025/07/11/14:09:48.058408,0.23698981490262017,0.0,0.0,0.0,0.0,0.6487459085602656
2025/07/11/14:09:48.108232,0.23329752993456326,0.0,0.0,0.0,0.0,0.6761976281851527
2025/07/11/14:09:48.158388,0.2297391743124943,0.0,0.0,0.0,0.0,0.704179064599888
2025/07/11/14:09:48.208261,0.22634372235294847,0.0,0.0,0.0,0.0,0.7324212186236746
2025/07/11/14:09:48.258240,0.22314089938086706,0.0,0.0,0.0,0.0,0.7605993477538028
2025/07/11/14:09:48.307918,0.22016090138095057,0.0,0.0,0.0,0.0,0.788332615534849
